czas_krok,moc,T_prawdziwa,T_poprzednia,pred_B_z_pamiecia
300,14.016725176148132,34.34931307257457,34.50190441778613,34.50086505684132
301,14.016725176148132,34.40979055760306,34.34931307257457,34.49989732555863
302,14.016725176148132,34.3905868797595,34.40979055760306,34.49899616233306
303,14.016725176148132,34.64855576861368,34.3905868797595,34.49815687972748
304,14.016725176148132,34.44965049309117,34.64855576861368,34.49737513464757
305,14.016725176148132,34.70835696402089,34.44965049309117,34.49664690117418
306,14.016725176148132,34.58985658158102,34.70835696402089,34.49596844578128
307,14.016725176148132,34.80879608241761,34.58985658158102,34.495336304699386
308,14.016725176148132,34.67271587118036,34.80879608241761,34.49474726321264
309,14.016725176148132,34.44490581065614,34.67271587118036,34.49419833670137
310,14.016725176148132,34.992944251798356,34.44490581065614,34.49368675326343
311,14.016725176148132,35.24301245046128,34.992944251798356,34.493209937765535
312,14.016725176148132,34.615893538426526,35.24301245046128,34.49276549719227
313,14.016725176148132,34.44252561585815,34.615893538426526,34.49235120717424
314,14.016725176148132,34.778536057165795,34.44252561585815,34.49196499958924
315,14.016725176148132,34.36719064587119,34.778536057165795,34.4916049511415
316,14.016725176148132,34.57895450710115,34.36719064587119,34.49126927283315
317,14.016725176148132,34.742690591616714,34.57895450710115,34.49095630025119
318,14.016725176148132,34.48346698490252,34.742690591616714,34.490664484600224
319,14.016725176148132,34.4520801262793,34.48346698490252,34.49039238441833
320,15.621088666940683,33.79884400563059,34.4520801262793,34.54231104402238
321,15.621088666940683,34.37869464707395,33.79884400563059,34.59016317259442
322,15.621088666940683,34.28830002947275,34.37869464707395,34.63392949573439
323,15.621088666940683,34.5390086494516,34.28830002947275,34.673663780739126
324,15.621088666940683,34.7126690668619,34.5390086494516,34.709484967564286
325,15.621088666940683,35.095648484866736,34.7126690668619,34.74156644618274
326,15.621088666940683,34.910634290930425,35.095648484866736,34.77012380228614
327,15.621088666940683,34.93155907283802,34.910634290930425,34.79540225443799
328,15.621088666940683,35.057395814719136,34.93155907283802,34.81766477224997
