czas_krok,moc,T_prawdziwa,pred_A_bez_pamieci
300,14.016725176148132,34.34931307257457,34.88406502072005
301,14.016725176148132,34.40979055760306,34.88406502072005
302,14.016725176148132,34.3905868797595,34.88406502072005
303,14.016725176148132,34.64855576861368,34.88406502072005
304,14.016725176148132,34.44965049309117,34.88406502072005
305,14.016725176148132,34.70835696402089,34.88406502072005
306,14.016725176148132,34.58985658158102,34.88406502072005
307,14.016725176148132,34.80879608241761,34.88406502072005
308,14.016725176148132,34.67271587118036,34.88406502072005
309,14.016725176148132,34.44490581065614,34.88406502072005
310,14.016725176148132,34.992944251798356,34.88406502072005
311,14.016725176148132,35.24301245046128,34.88406502072005
312,14.016725176148132,34.615893538426526,34.88406502072005
313,14.016725176148132,34.44252561585815,34.88406502072005
314,14.016725176148132,34.778536057165795,34.88406502072005
315,14.016725176148132,34.36719064587119,34.88406502072005
316,14.016725176148132,34.57895450710115,34.88406502072005
317,14.016725176148132,34.742690591616714,34.88406502072005
318,14.016725176148132,34.48346698490252,34.88406502072005
319,14.016725176148132,34.4520801262793,34.88406502072005
320,15.621088666940683,33.79884400563059,35.506897962721936
321,15.621088666940683,34.37869464707395,35.506897962721936
322,15.621088666940683,34.28830002947275,35.506897962721936
323,15.621088666940683,34.5390086494516,35.506897962721936
324,15.621088666940683,34.7126690668619,35.506897962721936
325,15.621088666940683,35.095648484866736,35.506897962721936
326,15.621088666940683,34.910634290930425,35.506897962721936
327,15.621088666940683,34.93155907283802,35.506897962721936
328,15.621088666940683,35.057395814719136,35.506897962721936
329,15.621088666940683,35.26719533389454,35.506897962721936
330,15.621088666940683,35.544754715629445,35.506897962721936
331,15.621088666940683,35.31058852613029,35.506897962721936
332,15.621088666940683,35.03910191797233,35.506897962721936
333,15.621088666940683,35.396635881332784,35.506897962721936
334,15.621088666940683,34.70641093725831,35.506897962721936
335,15.621088666940683,35.15353645336424,35.506897962721936
336,15.621088666940683,35.003184971396,35.506897962721936
337,15.621088666940683,34.954190031911025,35.506897962721936
338,15.621088666940683,34.70578075594589,35.506897962721936
339,15.621088666940683,34.667488356733266,35.506897962721936
340,15.621088666940683,35.02805946291267,35.506897962721936
341,15.621088666940683,35.20970234324266,35.506897962721936
342,15.621088666940683,35.293360807847165,35.506897962721936
343,15.621088666940683,35.24918255198271,35.506897962721936
344,15.621088666940683,34.74819366300626,35.506897962721936
345,15.621088666940683,34.46772580283423,35.506897962721936
346,15.621088666940683,34.35997607454193,35.506897962721936
347,15.621088666940683,34.50110963183102,35.506897962721936
348,15.621088666940683,34.514545367564,35.506897962721936
349,15.621088666940683,34.80106173699021,35.506897962721936
350,15.621088666940683,34.91169372127306,35.506897962721936
351,15.621088666940683,34.887692103876574,35.506897962721936
352,15.621088666940683,35.5320338317604,35.506897962721936
353,15.621088666940683,35.56396783765834,35.506897962721936
354,15.621088666940683,35.34189645708695,35.506897962721936
355,15.621088666940683,35.82516354938987,35.506897962721936
356,15.621088666940683,36.0719026368865,35.506897962721936
357,15.621088666940683,36.48360546993252,35.506897962721936
358,15.621088666940683,36.284266158572855,35.506897962721936
359,15.621088666940683,36.427046310755145,35.506897962721936
360,5.308767414437037,35.82965647509682,27.159253082680628
361,5.308767414437037,35.49538769254441,27.159253082680628
362,5.308767414437037,34.905341301845716,27.159253082680628
363,5.308767414437037,34.00329842322377,27.159253082680628
364,5.308767414437037,33.88971648275235,27.159253082680628
365,5.308767414437037,32.93240157881445,27.159253082680628
366,5.308767414437037,32.020899309571114,27.159253082680628
367,5.308767414437037,31.864872114628103,27.159253082680628
368,5.308767414437037,31.783988410736978,27.159253082680628
369,5.308767414437037,31.82932829606307,27.159253082680628
370,5.308767414437037,31.802472749517953,27.159253082680628
371,5.308767414437037,31.998174329366492,27.159253082680628
372,5.308767414437037,31.945295081206986,27.159253082680628
373,5.308767414437037,31.646883453708778,27.159253082680628
374,5.308767414437037,31.389951254855593,27.159253082680628
375,5.308767414437037,31.09099060995207,27.159253082680628
376,5.308767414437037,30.989256430663946,27.159253082680628
377,5.308767414437037,30.477813967821923,27.159253082680628
378,5.308767414437037,30.438767322144944,27.159253082680628
379,5.308767414437037,30.274643696504956,27.159253082680628
380,5.308767414437037,30.23226456033187,27.159253082680628
381,5.308767414437037,30.194202118177607,27.159253082680628
382,5.308767414437037,29.339888380509766,27.159253082680628
383,5.308767414437037,29.019210976650673,27.159253082680628
384,5.308767414437037,28.961987311473052,27.159253082680628
385,5.308767414437037,28.925284651246994,27.159253082680628
386,5.308767414437037,28.985980484028232,27.159253082680628
387,5.308767414437037,29.054708344586555,27.159253082680628
388,5.308767414437037,29.482103486080888,27.159253082680628
389,5.308767414437037,29.51417456370489,27.159253082680628
390,5.308767414437037,29.356035298324656,27.159253082680628
391,5.308767414437037,28.824717244878528,27.159253082680628
392,5.308767414437037,28.405064642806778,27.159253082680628
393,5.308767414437037,28.590208826555884,27.159253082680628
394,5.308767414437037,28.918027976845643,27.159253082680628
395,5.308767414437037,29.363898849954534,27.159253082680628
396,5.308767414437037,29.063320830464548,27.159253082680628
397,5.308767414437037,28.943997645579195,27.159253082680628
398,5.308767414437037,28.99807975193888,27.159253082680628
399,5.308767414437037,29.58935486030393,27.159253082680628
